Command,Category,CLI Defined,Implementation,Status,Code Location,Usage Likelihood,Notes/Recommendations
log,Critical Issues,Yes,Stub,Incomplete,src/utils.js:284-287,1,"Only prints placeholder text. Remove or implement proper pomodoro timer"
services,Critical Issues,Commented Out,Partial,Incomplete,src/utils.js:891-936,1,"Most choices are stubs. Either fully implement or remove"
hello,Critical Issues,No,Yes,Not Exposed,src/utils.js:244-246,1,"Handler exists but not registered. Remove or add to CLI for testing"
imath,Critical Issues,No,Yes,Not Exposed,src/utils.js:305-307,1,"Handler exists but not registered. Remove or document as internal"
poh,Critical Issues,No,Yes,Not Exposed,src/utils.js:270-283,1,"Push origin head - Add to CLI or remove if unused"
lastses,Critical Issues,No,Yes,Not Exposed,src/utils.js:319-323,2,"Reverse study session - Useful feature. Add to CLI"
quiz,Redundant,Yes,Yes,Functional,src/utils.js,4,"Mixed quiz session. Consider consolidating with ses/term"
term,Well-Implemented,Yes,Yes,Functional,src/utils.js,4,"Single random term question"
ses,Well-Implemented,Yes,Yes,Functional,src/utils.js:315-318,5,"Full study session with deck selection. No issues"
fses,Well-Implemented,Yes,Yes,Functional,src/utils.js:324-339,4,"Filtered study session using masks. Requires masks configured"
cses,Redundant,Yes,Yes,Functional,src/utils.js:369-372,3,"Cloze study session. Overlaps with cloze extension"
mcses,Redundant,Yes,Yes,Functional,src/utils.js:373-379,2,"Cloze pseudocode session. Consider unified command with flags"
amses,Redundant,Yes,Yes,Functional,src/utils.js:380-383,3,"Algorithm session"
mamses,Redundant,Yes,Yes,Functional,src/utils.js:384-389,2,"Pseudocode algorithm session"
cloze,Extension,Yes,Yes,Functional,extension,3,"Extension command. Overlaps with cses"
math,Well-Implemented,Yes,Yes,Functional,src/utils.js,3,"Random math problems"
dsa,Well-Implemented,Yes,Yes,Functional,extension,5,"Data Structures & Algorithms. Via extension"
report,Well-Implemented,Yes,Yes,Functional,src/utils.js,4,"Performance summary and skill reports"
code,Well-Implemented,Yes,Yes,Functional,src/utils.js,3,"Get directory path. Copies to clipboard"
setting,Well-Implemented,Yes,Yes,Functional,src/utils.js,3,"Display settings file paths"
clean,Well-Implemented,Yes,Yes,Functional,src/utils.js,3,"Terminal cleanup with confirmation"
coa,Well-Implemented,Yes,Yes,Functional,src/utils.js,4,"Commit and push with optional quiz. CLI shows 'co'"
co,Well-Implemented,Yes,Yes,Functional,src/utils.js,4,"Alias for coa"
reset-queues,Well-Implemented,Yes,Yes,Functional,src/utils.js:340-368,2,"Reset study queues. Advanced users only"
cleanup,Well-Implemented,Yes,Yes,Functional,src/utils.js,3,"Deletion queue management"
masks,Mask Management,Yes,Yes,Functional,src/utils.js,3,"Full mask management interface"
mask-list,Mask Management,Yes,Yes,Functional,src/utils.js,3,"List all masks"
mask-toggle,Mask Management,Yes,Yes,Functional,src/utils.js,3,"Toggle mask on/off"
mask-create,Mask Management,Yes,Yes,Functional,src/utils.js,3,"Quick mask creation"
mask-status,Mask Management,Yes,Yes,Functional,src/utils.js,3,"Show active mask status"
create-module,Module Management,Yes,Yes,Functional,src/utils.js,2,"Create term module. One-time setup"
prepare-week,Module Management,Yes,Yes,Functional,src/utils.js,3,"Generate daily study decks for week"
entries,Advanced,Yes,Yes,Functional,src/utils.js,2,"Search learning entries. Requires skill names knowledge"
skill,Advanced,Yes,Yes,Functional,src/utils.js,3,"Skill progress reports"
backup,Commented Out,Commented Out,No Handler,Not Implemented,N/A,1,"Commented in CLI. No handler found"
